Ticker,month,monthly_return_percentage
TRENT,Nov-23,26.82
BAJAJ-AUTO,Nov-23,13.96
M&M,Nov-23,13.28
BHARTIARTL,Nov-23,11.08
BEL,Nov-23,10.2
BEL,Dec-23,24.92
BAJAJ-AUTO,Dec-23,12.42
TRENT,Dec-23,8.81
M&M,Dec-23,6.39
BHARTIARTL,Dec-23,1.72
BHARTIARTL,Jan-24,15.56
BAJAJ-AUTO,Jan-24,14.42
TRENT,Jan-24,2.83
BEL,Jan-24,0.51
M&M,Jan-24,-3.04
TRENT,Feb-24,25.11
M&M,Feb-24,17.03
BEL,Feb-24,11.83
BAJAJ-AUTO,Feb-24,3.31
BHARTIARTL,Feb-24,-2.42
BAJAJ-AUTO,Mar-24,13.78
BHARTIARTL,Mar-24,8.85
TRENT,Mar-24,1.2
BEL,Mar-24,-1.99
M&M,Mar-24,-2.62
TRENT,Apr-24,13.46
M&M,Apr-24,12.55
BEL,Apr-24,10.73
BHARTIARTL,Apr-24,8.62
BAJAJ-AUTO,Apr-24,-1.53
BEL,May-24,26.07
M&M,May-24,14.69
BHARTIARTL,May-24,5.27
BAJAJ-AUTO,May-24,-0.28
TRENT,May-24,-1.88
TRENT,Jun-24,17.54
M&M,Jun-24,8.83
BHARTIARTL,Jun-24,3.81
BAJAJ-AUTO,Jun-24,1.78
BEL,Jun-24,-4
TRENT,Jul-24,5.86
BEL,Jul-24,2.73
BHARTIARTL,Jul-24,2.58
BAJAJ-AUTO,Jul-24,1.38
M&M,Jul-24,1.11
TRENT,Aug-24,24.05
BAJAJ-AUTO,Aug-24,11.93
BHARTIARTL,Aug-24,5.55
M&M,Aug-24,-0.81
BEL,Aug-24,-3.81
M&M,Sep-24,11.45
BAJAJ-AUTO,Sep-24,10.96
BHARTIARTL,Sep-24,8.79
TRENT,Sep-24,5.97
BEL,Sep-24,-3.97
BEL,Oct-24,0.33
BHARTIARTL,Oct-24,-5.07
TRENT,Oct-24,-6.36
M&M,Oct-24,-13.8
BAJAJ-AUTO,Oct-24,-19.09
