,ADANI ENTERPRISES,ADANI PORTS & SEZ,APOLLO HOSPITALS,ASIAN PAINTS,AXIS BANK,BAJAJ AUTO,BAJAJ FINANCE,BAJAJ FINSERV,BHARAT ELECTRONICS,BHARTI AIRTEL,BPCL,BRITANNIA,CIPLA,COAL INDIA,DR. REDDYS LAB,EICHER MOTORS,GRASIM,HCL TECHNOLOGIES,HDFC BANK,HDFC LIFE INSURANCE,HERO MOTOCORP,HINDALCO,HINDUSTAN UNILEVER,ICICI BANK,INDUSIND BANK,INFOSYS,ITC,JSW STEEL,KOTAK MAHINDRA BANK,L&T,M&M,MARUTI SUZUKI,NESTLE,NTPC,ONGC,POWER GRID,RELIANCE IND.,SBI,SBI LIFE INSURANCE,SHRIRAM FINANCE,SUN PHARMA,TATA CONSUMER,TATA MOTORS,TATA STEEL,TCS,TECH MAHINDRA,TITAN,TRENT,ULTRATECH CEMENT,WIPRO
0,2217.3,769.1,4796.55,2934.55,971.8,5344.35,7471.9,1572.85,132.4,913.45,178.45,4397.3,1201.25,306.65,1069.29,3282.25,1861.15,1258.95,1474.5,620.05,3092.45,462.7,2472.25,914.05,1432.6,1354.15,428.1,724.45,1724.4,2895.3,1454.6,10227.8,2387.27,232.6,186.7,200.95,1148.7,566.4,1336.05,1902.25,1116.2,892.06,627.7,116.6,3330.65,1125.1,3173.4,2197.65,8381.45,380.95
1,2215.3,774.3,4887.0,2955.4,982.95,5318.4,7449.1,1575.6,134.75,923.85,180.28,4527.25,1208.5,308.85,1067.7,3338.3,1890.23,1273.4,1476.75,619.3,3052.1,474.2,2486.8,919.95,1461.2,1370.15,431.15,733.35,1737.7,2918.1,1469.7,10303.6,2411.18,235.25,186.2,203.1,1160.1,572.1,1343.5,1954.85,1132.85,900.06,636.45,118.1,3360.1,1115.5,3201.5,2189.85,8459.0,383.65
2,2229.85,795.4,5153.2,2977.85,988.85,5368.95,7411.5,1536.15,135.95,930.75,180.75,4539.55,1206.35,312.0,1052.61,3428.0,1888.69,1266.25,1483.75,622.1,3089.4,475.2,2509.25,933.8,1450.25,1389.05,433.25,746.05,1733.25,2911.25,1469.0,10276.3,2399.91,234.35,190.0,204.4,1159.85,578.15,1329.35,2013.55,1141.1,902.48,647.5,117.3,3350.9,1133.1,3274.5,2196.5,8522.6,383.55
3,2246.0,802.5,5164.95,3029.3,1009.4,5406.85,7562.05,1564.4,137.65,939.2,183.13,4623.6,1204.1,316.55,1067.62,3510.95,1911.1,1269.7,1494.5,621.8,3166.9,481.95,2497.4,945.45,1470.25,1403.3,435.35,754.0,1740.2,2975.45,1488.3,10284.8,2428.96,235.85,193.3,208.2,1169.5,574.35,1331.85,1991.5,1150.0,907.37,646.05,119.4,3380.25,1142.15,3267.05,2233.2,8640.95,384.65
4,2233.35,797.55,5136.85,3033.35,1020.9,5419.0,7495.6,1569.8,138.05,937.15,186.4,4655.2,1216.45,314.25,1080.87,3509.05,1913.94,1273.95,1487.25,622.45,3130.25,484.55,2496.45,948.1,1486.4,1404.3,432.7,748.6,1751.25,2961.3,1479.75,10253.3,2436.95,239.15,193.2,208.0,1161.9,579.75,1340.85,1987.2,1170.95,910.73,645.0,119.65,3370.45,1149.0,3270.2,2424.0,8685.75,383.3
5,2259.95,818.7,5110.95,3095.25,1021.7,5397.6,7459.95,1575.5,140.4,936.75,192.1,4670.6,1241.0,317.4,1090.71,3550.3,1926.19,1267.65,1491.55,618.75,3132.1,488.05,2519.35,935.75,1488.95,1391.0,436.95,756.7,1746.25,2996.45,1487.4,10322.3,2428.16,236.7,195.35,207.0,1167.95,580.3,1345.5,1979.65,1176.7,905.05,642.55,119.05,3381.55,1139.15,3311.85,2452.85,8698.85,382.2
6,2214.65,806.2,5297.6,3080.2,1021.9,5418.9,7386.7,1582.25,137.95,932.35,191.78,4652.1,1238.15,323.55,1091.59,3541.9,1927.34,1267.5,1485.65,621.35,3173.9,484.45,2476.7,937.35,1507.35,1374.8,434.4,750.85,1744.95,3024.85,1552.05,10400.3,2422.68,237.95,192.7,209.8,1155.28,578.35,1350.7,1943.4,1176.2,891.77,649.35,119.65,3347.45,1123.95,3283.75,2478.05,8627.05,380.85
7,2205.1,808.6,5278.5,3076.45,1029.2,5392.05,7444.8,1596.0,138.8,935.5,192.03,4681.95,1240.1,323.4,1084.98,3540.75,1935.31,1255.45,1491.5,626.75,3105.2,481.3,2486.55,938.6,1498.8,1368.85,436.55,754.75,1745.45,3033.25,1524.1,10388.8,2413.72,242.75,195.9,211.15,1157.45,579.5,1355.4,1952.2,1179.35,901.49,651.05,120.05,3333.45,1138.15,3256.35,2489.35,8710.85,379.3
8,2211.35,812.25,5275.55,3098.15,1029.95,5442.55,7456.9,1594.6,139.6,938.0,192.05,4676.6,1243.95,331.8,1089.95,3579.3,1938.39,1260.2,1500.0,626.9,3115.2,482.45,2491.55,942.35,1502.1,1388.2,438.45,756.55,1752.5,3052.0,1526.25,10431.4,2428.33,244.55,196.75,212.0,1165.33,581.3,1358.85,1963.25,1180.6,904.06,653.55,120.85,3357.3,1142.15,3280.6,2494.25,8711.1,382.45
9,2213.65,809.85,5220.65,3085.6,1025.35,5425.2,7360.85,1585.2,143.4,935.0,193.55,4696.35,1240.55,349.35,1083.97,3645.4,1921.21,1261.0,1488.8,621.05,3118.8,487.5,2478.15,934.45,1509.6,1373.55,436.0,761.1,1748.2,3048.5,1540.25,10398.4,2408.58,245.7,195.8,212.3,1157.3,581.35,1328.35,1967.8,1177.8,905.3,653.25,121.0,3331.55,1131.35,3264.75,2559.05,8677.4,381.65
