Company,Ticker,Std_Dev
ADANI ENTERPRISES,ADANIENT,3.0
ADANI PORTS & SEZ,ADANIPORTS,5.0
APOLLO HOSPITALS,APOLLOHOSP,16.0
ASIAN PAINTS,ASIANPAINT,4.0
AXIS BANK,AXISBANK,5.0
BAJAJ AUTO,BAJAJ-AUTO,23.0
BAJAJ FINSERV,BAJAJFINSV,5.0
BAJAJ FINANCE,BAJFINANCE,21.0
BHARAT ELECTRONICS,BEL,7.000000000000001
BHARTI AIRTEL,BHARTIARTL,14.000000000000002
BPCL,BPCL,6.0
BRITANNIA,BRITANNIA,83.0
CIPLA,CIPLA,5.0
COAL INDIA,COALINDIA,6.0
DR. REDDYS LAB,DRREDDY,9.0
EICHER MOTORS,EICHERMOT,10.0
GRASIM,GRASIM,4.0
HCL TECHNOLOGIES,HCLTECH,4.0
HDFC BANK,HDFCBANK,2.0
HDFC LIFE INSURANCE,HDFCLIFE,4.0
HERO MOTOCORP,HEROMOTOCO,21.0
HINDALCO,HINDALCO,6.0
HINDUSTAN UNILEVER,HINDUNILVR,17.0
ICICI BANK,ICICIBANK,4.0
INDUSIND BANK,INDUSINDBK,2.0
INFOSYS,INFY,2.0
ITC,ITC,5.0
JSW STEEL,JSWSTEEL,3.0
KOTAK MAHINDRA BANK,KOTAKBANK,5.0
L&T,LT,5.0
M&M,M&M,4.0
MARUTI SUZUKI,MARUTI,17.0
NESTLE,NESTLEIND,5.0
NTPC,NTPC,6.0
ONGC,ONGC,4.0
POWER GRID,POWERGRID,2.0
RELIANCE IND.,RELIANCE,16.0
SBI LIFE INSURANCE,SBILIFE,2.0
SBI,SBIN,5.0
SHRIRAM FINANCE,SHRIRAMFIN,9.0
SUN PHARMA,SUNPHARMA,4.0
TATA CONSUMER,TATACONSUM,4.0
TATA MOTORS,TATAMOTORS,3.0
TATA STEEL,TATASTEEL,6.0
TCS,TCS,135.0
TECH MAHINDRA,TECHM,5.0
TITAN,TITAN,6.0
TRENT,TRENT,3.0
ULTRATECH CEMENT,ULTRACEMCO,2.0
WIPRO,WIPRO,6.0
