Ticker,month,monthly_return_percentage
ASIANPAINT,Apr-2024,0.17
BAJFINANCE,Apr-2024,-4.52
INDUSINDBK,Apr-2024,-1.73
KOTAKBANK,Apr-2024,-9.31
NESTLEIND,Apr-2024,-3.02
ASIANPAINT,Aug-2024,0.89
BAJFINANCE,Aug-2024,6.33
INDUSINDBK,Aug-2024,0.38
KOTAKBANK,Aug-2024,-0.66
NESTLEIND,Aug-2024,0.67
ASIANPAINT,Dec-2023,7.22
BAJFINANCE,Dec-2023,0.94
INDUSINDBK,Dec-2023,9.44
KOTAKBANK,Dec-2023,9
NESTLEIND,Dec-2023,9.21
ASIANPAINT,Feb-2024,-3.67
BAJFINANCE,Feb-2024,-3.68
INDUSINDBK,Feb-2024,-4.3
KOTAKBANK,Feb-2024,-7.31
NESTLEIND,Feb-2024,5.2
ASIANPAINT,Jan-2024,-12.9
BAJFINANCE,Jan-2024,-5.98
INDUSINDBK,Jan-2024,-4.05
KOTAKBANK,Jan-2024,-4.39
NESTLEIND,Jan-2024,-8.45
ASIANPAINT,Jul-2024,5.35
BAJFINANCE,Jul-2024,-6.46
INDUSINDBK,Jul-2024,-2
KOTAKBANK,Jul-2024,-0.01
NESTLEIND,Jul-2024,-4.35
ASIANPAINT,Jun-2024,1.77
BAJFINANCE,Jun-2024,2.89
INDUSINDBK,Jun-2024,-4.26
KOTAKBANK,Jun-2024,4.92
NESTLEIND,Jun-2024,8.35
ASIANPAINT,Mar-2024,0.53
BAJFINANCE,Mar-2024,10.25
INDUSINDBK,Mar-2024,1.73
KOTAKBANK,Mar-2024,3.35
NESTLEIND,Mar-2024,0.8
ASIANPAINT,May-2024,-3.17
BAJFINANCE,May-2024,-2.69
INDUSINDBK,May-2024,-2.88
KOTAKBANK,May-2024,6.65
NESTLEIND,May-2024,-6.27
ASIANPAINT,Nov-2023,6.32
BAJFINANCE,Nov-2023,-4.68
INDUSINDBK,Nov-2023,2.34
KOTAKBANK,Nov-2023,1.8
NESTLEIND,Nov-2023,1.52
ASIANPAINT,Oct-2024,-10.43
BAJFINANCE,Oct-2024,-10.56
INDUSINDBK,Oct-2024,-25.12
KOTAKBANK,Oct-2024,-7.89
NESTLEIND,Oct-2024,-16.41
ASIANPAINT,Sep-2024,5.65
BAJFINANCE,Sep-2024,3.53
INDUSINDBK,Sep-2024,-0.1
KOTAKBANK,Sep-2024,4.14
NESTLEIND,Sep-2024,7.17
